modelo,balanceamento,acurácia,precisão,recall,f1_score,roc_auc
Logistic Regression,Com balanceamento,0.8156862745098039,0.4084507042253521,0.8529411764705882,0.5523809523809524,0.8957945169017834
Logistic Regression,Sem balanceamento,0.8901960784313725,0.65,0.38235294117647056,0.48148148148148145,0.8997870641469257
Random Forest,Sem balanceamento,0.8980392156862745,0.75,0.35294117647058826,0.48,0.9095022624434389
Random Forest,Com balanceamento,0.9019607843137255,0.8461538461538461,0.3235294117647059,0.46808510638297873,0.9228107532605803
